code,name,price,hsl,估算日额万,mktcap亿
300862,蓝盾光电,46.45,11.35,79854.0,85.76
002842,翔鹭钨业,34.14,8.7,79772.0,111.7
002167,东方锆业,15.24,6.86,79648.0,118.06
300322,硕贝德,17.84,10.11,79469.0,82.07
300328,宜安科技,15.67,7.32,78936.0,108.19
002787,华源控股,23.43,13.47,78294.0,77.88
603598,引力传媒,18.77,15.41,78018.0,50.68
002855,捷荣技术,17.95,17.35,76698.0,44.23
600363,联创光电,16.31,10.4,76508.0,73.54
301591,肯特股份,46.61,36.5,76035.0,50.97
600391,航发科技,37.91,6.07,75933.0,125.15
603138,海量数据,15.33,17.15,75808.0,45.01
603980,吉华集团,7.94,14.02,75349.0,53.74
600508,上海能源,11.22,6.62,75170.0,113.52
002537,海联金汇,6.6,9.63,74428.0,77.49
002515,金字火腿,7.42,9.09,74344.0,89.83
002757,南兴股份,18.09,14.45,74298.0,53.45
300647,超频三,8.09,19.93,73641.0,37.0
301307,美利信,55.72,12.05,73328.0,117.35
002885,京泉华,27.73,11.04,72856.0,75.13
603580,艾艾精工,68.62,8.02,71930.0,89.67
300368,汇金股份,9.94,13.63,71642.0,52.58
688677,海泰新光,81.81,7.22,70763.0,98.07
002824,和胜股份,25.66,12.14,70471.0,79.85
300444,双杰电气,9.68,11.56,70184.0,77.89
300497,富祥股份,18.28,8.38,69924.0,98.47
002124,天邦食品,2.42,14.64,69857.0,53.77
002229,鸿博股份,12.07,11.72,69784.0,59.53
301085,亚康股份,67.01,17.36,69480.0,58.15
002412,汉森制药,9.68,14.34,69111.0,48.71
600596,新安股份,11.02,4.62,68651.0,148.73
002196,方正电机,10.88,12.85,68505.0,53.95
300400,劲拓股份,32.87,8.51,67870.0,79.98
002506,协鑫集成,2.53,4.58,67722.0,148.01
601566,九牧王,10.51,11.21,67717.0,60.39
600828,茂业商业,4.97,7.86,67651.0,86.08
300766,每日互动,22.63,8.35,67590.0,89.33
002272,川润股份,16.89,9.51,67325.0,81.9
300943,春晖智控,35.5,14.08,67155.0,72.36
000998,隆平高科,9.39,5.44,67154.0,137.98
300911,亿田智能,31.14,12.53,66874.0,57.09
002158,汉钟精机,27.36,4.58,66821.0,146.3
600121,郑州煤电,5.12,10.71,66818.0,62.38
300229,拓尔思,13.79,5.54,66738.0,120.47
300077,国民技术,19.94,5.87,66726.0,135.22
600785,新华百货,11.4,18.53,66722.0,36.01
002458,益生股份,9.11,7.58,66720.0,130.38
002201,九鼎新材,9.27,11.92,66501.0,60.41
600986,浙文互联,7.56,5.91,66471.0,112.45
603090,宏盛股份,42.45,15.65,66445.0,42.45
600059,古越龙山,9.19,7.91,66244.0,83.77
300589,江龙船艇,14.53,20.44,66077.0,54.88
603619,中曼石油,22.78,6.26,65920.0,105.32
301196,唯科科技,78.88,7.73,65751.0,129.53
300333,兆日科技,12.25,15.95,65424.0,41.16
600865,百大集团,11.35,15.3,65349.0,42.7
301008,宏昌科技,45.1,12.5,65216.0,59.06
000759,中百集团,6.36,15.63,65161.0,41.72
300252,金信诺,11.97,9.74,65158.0,81.9
300401,花园生物,14.75,8.18,64669.0,80.36
603221,爱丽家居,27.58,9.66,64557.0,66.82
000505,京粮控股,7.06,13.81,64545.0,51.32
300725,药石科技,42.73,7.36,63724.0,99.91
603936,博敏电子,15.98,6.32,63626.0,103.13
600506,统一股份,18.46,13.66,62934.0,46.08
603330,天洋新材,10.54,13.79,62876.0,45.6
300113,顺网科技,17.24,7.15,62784.0,116.23
301310,鑫宏业,55.1,11.66,62675.0,105.22
603319,美湖股份,29.16,6.32,62479.0,98.9
300927,江天化学,29.8,14.87,62438.0,43.02
688662,富信科技,79.5,6.83,62261.0,91.19
601678,滨化股份,6.01,5.05,62018.0,144.78
600698,湖南天雁,7.91,9.44,62003.0,84.53
605088,冠盛股份,22.77,13.5,61829.0,46.16
603601,再升科技,9.07,5.97,61822.0,103.61
688308,欧科亿,84.18,4.6,61531.0,133.66
300008,天海防务,6.46,5.69,61210.0,111.63
