code,name,mktcap亿,日额万,①毛利率升,②CapEx增(参考不计分),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数(①③④),净利同比%,备注,行业,画像判定
002067,景兴纸业,60.76,11781.0,True,False,?,True,False,2,152.95,观察,轻工制造-造纸印刷-造纸,"保留(画像中性,人工终审)"
600230,沧州大化,60.52,16550.0,True,False,?,True,?,2,330.75,观察,基础化工-化学原料-聚氨酯,"保留(画像中性,人工终审)"
002382,蓝帆医疗,59.95,6511.0,True,False,?,True,?,2,179.72,观察,医药生物-医疗器械-医疗器械,"保留(画像中性,人工终审)"
603901,永创智能,56.98,9301.0,True,False,?,True,?,2,79.92,观察,机械设备-专用设备-印刷包装机械,"保留(画像中性,人工终审)"
301120,新特电气,56.16,20127.0,True,False,?,True,False,2,109.32,观察,电气设备-其他电气设备-其他电气设备,"保留(画像中性,人工终审)"
002455,百川股份,55.7,26900.0,True,False,?,True,?,2,31.23,观察,基础化工-化学制品-其他化学制品,"保留(画像中性,人工终审)"
002134,天津普林,55.19,20675.0,True,False,?,True,?,2,560.06,观察,电子设备-电子元件-电子元件,"保留(画像中性,人工终审)"
002196,方正电机,53.95,68505.0,True,False,?,True,?,2,438.74,观察,电气设备-电机-电机,"保留(画像中性,人工终审)"
600593,大连圣亚,53.95,22619.0,True,False,?,True,False,2,201.985125244811,观察,休闲、生活及专业服务-休闲服务-景区,"保留(画像中性,人工终审)"
300737,科顺股份,53.85,12473.0,True,False,?,True,?,2,43.5,观察,建材-其他建材-其他建材,"保留(画像中性,人工终审)"
603980,吉华集团,53.74,75349.0,True,False,?,True,?,2,1235.47,观察,基础化工-化学制品-印染化学品,"保留(画像中性,人工终审)"
002757,南兴股份,53.45,74298.0,True,False,?,True,?,2,32.04,观察,机械设备-专用设备-其他专用机械,"保留(画像中性,人工终审)"
300767,震安科技,52.22,14275.0,True,False,?,True,?,2,129.3,观察,基础化工-橡胶制品-其他橡胶制品,"保留(画像中性,人工终审)"
605228,神通科技,51.37,6665.0,True,False,?,True,False,2,43.94,观察,交运设备-汽车-汽车零部件,"保留(画像中性,人工终审)"
002033,丽江股份,50.22,32416.0,False,False,?,True,True,2,40.46,观察,休闲、生活及专业服务-休闲服务-景区,"保留(画像中性,人工终审)"
688320,禾川科技,49.37,8732.0,True,False,?,True,?,2,159.47878148206,观察,机械设备-通用设备-仪器仪表,"保留(画像中性,人工终审)"
300885,海昌新材,48.12,8130.0,True,True,?,True,False,2,42.97,观察,机械设备-金属制品-金属制品,"保留(画像中性,人工终审)"
300801,泰和科技,47.73,7992.0,True,True,?,True,?,2,148.24,观察,基础化工-化学制品-其他化学制品,"保留(画像中性,人工终审)"
301448,开创电气,46.67,6263.0,True,False,?,True,?,2,140.8,观察,机械设备-通用设备-其他通用机械,"保留(画像中性,人工终审)"
603790,雅运股份,45.98,8034.0,True,False,?,True,?,2,39.31,观察,基础化工-化学制品-印染化学品,"保留(画像中性,人工终审)"
603330,天洋新材,45.6,62876.0,True,True,?,True,False,2,158.367758744159,观察,基础化工-化学制品-塑料制品,"保留(画像中性,人工终审)"
300927,江天化学,43.02,62438.0,True,False,?,True,?,2,22955.37,观察,基础化工-化学原料-其他化学原料,"保留(画像中性,人工终审)"
603255,鼎际得,40.88,5610.0,True,False,?,True,?,2,931.1,观察,基础化工-化学制品-其他化学制品,"保留(画像中性,人工终审)"
603926,铁流股份,39.4,6919.0,True,False,?,True,?,2,41.26,观察,交运设备-汽车-汽车零部件,"保留(画像中性,人工终审)"
600844,金煤科技,37.2,25324.0,True,False,?,True,?,2,128.038012855339,观察,基础化工-化学制品-其他化学制品,"保留(画像中性,人工终审)"
603819,神力股份,37.06,18181.0,True,False,?,True,?,2,155.03,观察,电气设备-电机-电机,"保留(画像中性,人工终审)"
300721,怡达股份,35.71,12293.0,True,False,?,True,?,2,148.89,观察,基础化工-化学制品-其他化学制品,"保留(画像中性,人工终审)"
001378,德冠新材,34.44,5492.0,True,True,?,True,?,2,63.8,观察,基础化工-化学制品-塑料制品,"保留(画像中性,人工终审)"
002921,联诚精密,32.62,14943.0,True,False,?,True,False,2,133.18,观察,交运设备-汽车-汽车零部件,"保留(画像中性,人工终审)"
000722,湖南发展,85.22,27538.0,True,False,?,True,False,2,77.45,观察,公用事业-电力-水电,剔除(公用/环保)
600310,广西能源,65.66,17837.0,True,False,?,True,False,2,275.110059431999,观察,公用事业-电力-水电,剔除(公用/环保)
000601,韶能股份,65.65,20175.0,True,False,?,True,?,2,75.64,观察,公用事业-电力-水电,剔除(公用/环保)
600617,国新能源,64.82,8526.0,True,False,?,True,?,2,44.26,观察,公用事业-燃气-燃气,剔除(公用/环保)
